,name,address,pro_score,sentiment,g_rating,appearance_scores,lat,long
0,Adrienne's Pizzabar,"54 Stone St, New York, NY 10004, USA",0.276872964169381,0.8870867548276181,4.4,0.641275180595989,40.7042941,-73.88847259999999
1,Alligator Lounge,"600 Metropolitan Ave, Brooklyn, NY 11211, USA",0.016286644951140017,0.8768963121703197,4.3,0.4352450094208652,40.7139843,-73.88847259999999
2,Cafe Amore's Restaurant,"147 Chambers St, New York, NY 10007, USA",0.5863192182410422,0.849441264906803,3.3,0.4352450094208652,40.715978299999996,-73.88847259999999
3,Antika,"36-08 30th Ave, Astoria, NY 11103, USA",0.5700325732899021,0.012290998741984598,4.3,0.4352450094208652,40.76474299999999,-73.88847259999999
4,Antonio's,"318 Flatbush Ave, Brooklyn, NY 11238",0.9934853420195437,0.9730980944829235,4.4,0.7827950167967014,40.677178999999995,-73.97245699999999
5,Arcade Bakery,"220 Church St, New York, NY 10013, USA",0.27361563517915294,0.5654053286951292,4.8,0.4352450094208652,40.716910299999995,-73.88847259999999
6,Archie's Bar & Pizza,"128 Central Ave, Brooklyn, NY 11221, USA",0.6254071661237783,0.8003944086394077,4.6,0.7827950167967014,40.6997484,-73.88847259999999
7,Armando's Pizza,"1717 Broadway, Brooklyn, NY 11207, USA",0.45602605863192175,0.8779118260384218,4.2,0.4352450094208652,40.6835805,-73.88847259999999
8,Artichoke Basille's Pizza,"114 10th Ave, New York, NY 10011, USA",1.0260586319218237,0.4991088078415209,4.2,0.7827950167967014,40.7440813,-73.88847259999999
9,Astoria Pizza,"32-04 30th Ave, Long Island City, NY 11102, USA",0.45602605863192175,0.8994191236769407,4.1,0.4352450094208652,40.76635199999999,-73.88847259999999
10,B Squared,"679 9th Ave, New York, NY 10036, USA",0.260586319218241,0.7512870518507505,4.4,0.4352450094208652,40.761553,-73.88847259999999
11,Babbalucci,"331 Lenox Ave, New York, NY 10027, USA",0.016286644951140017,0.9059737089992016,4.5,0.4352450094208652,40.80891729999999,-73.88847259999999
12,Bad Boys Pizza,"2313 86th St, Brooklyn, NY 11214, USA",0.45602605863192175,0.25149004134133723,4.4,0.4352450094208652,40.60052,-73.88847259999999
13,Barboncino Pizza,"781 Franklin Ave, Brooklyn, NY 11238, USA",0.547231270358306,0.8994191236769407,4.6,0.641275180595989,40.672069799999996,-73.88847259999999
14,Bari's Pizza Pasta,"596 Bay St, Staten Island, NY 10304, USA",0.45602605863192175,0.6167639278448227,4.3,0.4352450094208652,40.6272621,-73.88847259999999
15,Beebe's,"38-28 27th St, Long Island City, NY 11101, USA",0.25081433224755695,0.8201358785157592,4.3,0.4352450094208652,40.7547897,-73.88847259999999
16,Belmora,"139 E 57th St, New York, NY 10022, USA",0.45602605863192175,0.9459710281195371,3.6,0.4352450094208652,40.76081789999999,-73.88847259999999
17,Bergen Pizza,"67 6th Ave, Brooklyn, NY 11217, USA",0.45602605863192175,0.8284156440598206,4.4,0.4352450094208652,40.6805905,-73.88847259999999
18,Best Italian Pizza,"412 E 149th St, The Bronx, NY 10455, USA",0.45602605863192175,0.19566542362849745,4.2,0.4352450094208652,40.8157044,-73.88847259999999
19,Best Pizza,"33 Havemeyer St, Brooklyn, NY 11211, USA",2.475570032573289,0.9983388707717051,4.4,1.0,40.7156564,-73.88847259999999
20,Bocce Union Square,"20 Union Square W, New York, NY 10003, USA",0.25732899022801287,0.3998578205576631,4.0,0.4352450094208652,40.7364501,-73.88847259999999
21,Bono Trattoria,"3658 Broadway, New York, NY 10031, USA",0.016286644951140017,0.9714669004009873,4.6,0.4352450094208652,40.830224,-73.88847259999999
22,Bravo Pizza,"6 E 42nd St, New York, NY 10017, USA",0.45602605863192175,0.8160973990897586,3.9,0.4352450094208652,40.753119299999994,-73.88847259999999
23,Broadway Pizza & Pasta,"192, 5618, W 231st St, The Bronx, NY 10463",0.45602605863192175,0.84036376382514,3.9,0.4352450094208652,40.878822,-73.904523
24,Brooklyn Pizza Crew,"758 Nostrand Ave, Brooklyn, NY 11216, USA",0.3745928338762214,0.056920987641042656,4.3,0.4352450094208652,40.672800200000005,-73.88847259999999
25,Brooklyn Pizza Market,"267 A Smith St, Brooklyn, NY 11231, USA",0.016286644951140017,0.8125545224875897,4.0,0.4352450094208652,40.6826629,-73.88847259999999
26,Brother's Pizza,"27 E Kingsbridge Rd, The Bronx, NY 10468, USA",0.45602605863192175,0.41405505376683155,3.8,0.4352450094208652,40.867314,-73.88847259999999
27,Brother's Pizzeria,"750 Port Richmond Ave, Staten Island, NY 10302, USA",0.6254071661237783,0.056920987641042656,4.5,0.4352450094208652,40.62554790000001,-73.88847259999999
28,Brunetti,"626 Hudson St, New York, NY 10014, USA",0.260586319218241,0.682673991324121,4.4,0.4352450094208652,40.738268,-73.88847259999999
29,Bruno Pizza,"204 E 13th St, New York, NY 10003, USA",0.25081433224755695,0.8725048010973935,4.5,0.4352450094208652,40.7323033,-73.88847259999999
30,Cafe al Mercato,"2344 Arthur Ave, The Bronx, NY 10458, USA",0.04885993485342016,0.41405505376683155,4.5,0.4352450094208652,40.854316499999996,-73.88847259999999
31,Cafe Viva Gourmet Pizza,"2578 Broadway, New York, NY 10025, USA",0.09771986970684038,0.8085409899021114,4.3,0.4352450094208652,40.79533,-73.88847259999999
32,Camillo,"1146 Nostrand Ave, Brooklyn, NY 11225, USA",0.260586319218241,0.7455024816526878,4.5,0.4352450094208652,40.659591999999996,-73.88847259999999
