,reviews,inclusion,exclusion,inclusion_score,exclusion_score,total_score,scaled_score
0,1,1.624517568269195,0.0,1.624517568269195,0.0,1.624517568269195,0.4352450094208652
1,2,1.6015459273656616,0.8325546111576977,3.2260634956348566,0.8325546111576977,2.393508884477159,0.641275180595989
2,3,1.5763586678760644,1.048147073968205,4.802422163510921,1.8807016851259029,2.9217204783850184,0.7827950167967014
3,4,1.5485138917033876,1.1774100225154747,6.350936055214309,3.0581117076413777,3.292824347572931,0.8822221391594968
4,5,1.5174271293851465,1.2686362411795196,7.868363184599455,4.3267479488208975,3.5416152357785577,0.9488788467236094
5,6,1.4823038073675112,1.3385661990458504,9.350666991966966,5.665314147866748,3.685352844100218,0.9873894038945903
6,7,1.442026886600883,1.3949588341794583,10.79269387856785,7.060272982046206,3.732420896521644,1.0
7,8,1.3949588341794583,1.442026886600883,12.187652712747308,8.50229986864709,3.685352844100219,0.9873894038945905
8,9,1.3385661990458504,1.4823038073675112,13.526218911793158,9.9846036760146,3.5416152357785577,0.9488788467236094
9,10,1.2686362411795196,1.5174271293851465,14.794855152972678,11.502030805399746,3.2928243475729317,0.882222139159497
10,11,1.1774100225154747,1.5485138917033876,15.972265175488152,13.050544697103135,2.9217204783850175,0.782795016796701
11,12,1.048147073968205,1.5763586678760644,17.020412249456356,14.6269033649792,2.393508884477157,0.6412751805959885
12,13,0.8325546111576977,1.6015459273656616,17.852966860614053,16.228449292344862,1.6245175682691908,0.4352450094208641
13,14,0.0,1.624517568269195,17.852966860614053,17.852966860614057,-3.552713678800501e-15,0.0
