,name,address,g_rating,lat,long
59,Forcella,"485 Lorimer St, Brooklyn, NY 11211, USA",4.2,40.7114916,-73.8884726
60,Fornino At Pier 6,"Brooklyn Bridge Park Pier 6, Bridge Park Drive, Brooklyn, NY 11201, USA",4.3,40.692916,-73.8884726
61,Fortina,"445 Albee Square W, Brooklyn, NY 11201, USA",4.1,40.6908464,-73.8884726
62,Franklin Pizza,"109 Franklin St, Brooklyn, NY 11222, USA",3.9,40.7296422,-73.8884726
63,Fausto,"348 Flatbush Ave, Brooklyn, NY 11238, USA",4.6,40.6759991,-73.8884726
64,Front Street Pizza,"80 Front St, Brooklyn, NY 11201, USA",4.3,40.7023963,-73.8884726
65,Full Moon,"600 E 187th St, The Bronx, NY 10458, USA",4.5,40.8553443,-73.8884726
66,Georgio's Pizzeria,"20 Beaver St, New York, NY 10004, USA",4.1,40.7049311,-73.8884726
67,Gianni's Pizzeria,"81-13 Northern Blvd, Jackson Heights, NY 11372, USA",4.0,40.7557377,-73.8884726
68,Giardini Pizza,"363 Smith St, Brooklyn, NY 11231, USA",4.1,40.679541,-73.8884726
69,Gino's Pizza,"8635 Broadway, Queens, NY 11373, USA",4.4,40.73753,-73.8884726
70,Giovanni,"4559 47th St, Woodside, NY 11377, USA",3.6,40.7411596,-73.8884726
71,Giuseppina's Brick Oven Pizza,"691 6th Ave, Brooklyn, NY 11215, USA",4.6,40.6603878,-73.8884726
72,Gloria Pizza,"108-22 Queens Blvd, Forest Hills, NY 11375, USA",4.1,40.7206232,-73.8884726
73,Golden Pizza,"504 E 138th St, The Bronx, NY 10454, USA",4.4,40.807466,-73.8884726
74,Gran Torino,"131 Berry St, Brooklyn, NY 11249, USA",4.4,40.7183171,-73.8884726
75,Grimaldi's Pizzeria,"1 Front St, Brooklyn, NY 11201, USA",4.1,40.702604,-73.8884726
76,Gruppo Thin Crust Pizza,"98 Avenue B, New York, NY 10009, USA",4.5,40.7247484,-73.8884726
77,Highline Pizzeria,"503 W 28th St, New York, NY 10001, USA",4.2,40.7510941,-73.8884726
78,Houdini Kitchen Laboratory,"1563 Decatur St, Ridgewood, NY 11385, USA",4.4,40.694155,-73.8884726
79,The House of Pizza & Calzone,"132 Union St, Brooklyn, NY 11231, USA",4.6,40.6840465,-73.8884726
80,Industry Kitchen,"70 South St, New York, NY 10038, USA",4.2,40.7049081,-73.8884726
81,Italy Pizza,"800 Manhattan Ave, Brooklyn, NY 11222, USA",4.6,40.7278149,-73.8884726
82,Ivana's Pizzeria,"2373 Arthur Ave, The Bronx, NY 10458, USA",4.5,40.8550664,-73.8884726
83,J & V Pizzeria,"6322 18th Ave, Brooklyn, NY 11204",4.1,40.619832,-73.989469
84,Joe & Pat's,"1758 Victory Blvd, Staten Island, NY 10314",4.3,40.613109,-74.122162
85,Joe's Pizza,"7 Carmine St, New York, NY 10014, USA",4.5,40.7305876,-73.8884726
86,John's of Bleecker St.,"278 Bleecker St, New York, NY 10014, USA",4.6,40.7316187,-73.8884726
87,Juliana's,"19 Old Fulton St, Brooklyn, NY 11201, USA",4.6,40.7026938,-73.8884726
88,Kesté Pizza & Vino,"271 Bleecker St, New York, NY 10014, USA",4.5,40.7315345,-73.8884726
89,King's Pizza,"1688 East 16th Street, Brooklyn, NY 11229, USA",4.0,40.608508,-73.8884726
90,Kingsbridge Social Club,"3625 Kingsbridge Ave, The Bronx, NY 10463, USA",4.7,40.884567,-73.8884726
91,Kiss My Slice,"274 W 40th St, New York, NY 10018, USA",4.4,40.755706,-73.8884726
92,Korner Pizza,"226 Church Ave # 1, Brooklyn, NY 11218, USA",4.2,40.6433681,-73.8884726
93,L&B Spumoni Gardens,"2725 86th St, Brooklyn, NY 11223",4.6,40.594503,-73.981537
94,L'Amico,"849 6th Ave, New York, NY 10001, USA",4.2,40.7471585,-73.8884726
95,Layla Jones,"214 Court St, Brooklyn, NY 11201, USA",4.2,40.6866639,-73.8884726
96,Lee's Tavern,"60 Hancock St, Staten Island, NY 10305, USA",4.6,40.5887494,-73.8884726
97,Levante,"26-21 Jackson Ave, Long Island City, NY 11101, USA",4.5,40.747557,-73.8884726
98,Lido Harlem Restaurant,"2168 Frederick Douglass Blvd, New York, NY 10026, USA",4.4,40.8048926,-73.8884726
99,Lil' Frankie's,"19 1st Avenue, New York, NY 10003, USA",4.3,40.7235162,-73.8884726
100,Lillian Pizzeria,"9601 69th Ave, Forest Hills, NY 11375, USA",4.4,40.71696719999999,-73.8884726
101,L'industrie pizzeria,"254 S 2nd St, Brooklyn, NY 11211, USA",4.7,40.71156269999999,-73.8884726
102,Lions & Tigers & Squares Detroit Pizza,"268 W 23rd St, New York, NY 10011, USA",4.5,40.7450574,-73.8884726
103,Little Italy Pizza,"2841, 11 Park Pl, New York, NY 10007, United States",4.3,40.713044,-73.8884726
104,Little luzzo's Ciro Adamo,"119 E 96th St, New York, NY 10128, USA",4.3,40.786293,-73.8884726
105,Lombardi's,"32 Spring St, New York, NY 10012, USA",4.1,40.72157,-73.8884726
106,Loring Place,"21 W 8th St, New York, NY 10011, USA",4.6,40.7329277,-73.8884726
107,Louie & Ernie's Pizza,"1300 Crosby Ave, The Bronx, NY 10461, USA",4.7,40.8382652,-73.8884726
108,Louie's,"8134 Baxter Ave # 1, Elmhurst, NY 11373, USA",4.7,40.7459936,-73.8884726
109,Lucali,"575 Henry St, Brooklyn, NY 11231, USA",4.5,40.6818053,-73.8884726
