,camis,inspection_date,dba,score_y,street
654,40788085,2019-07-09,STUDIO CAFE,5.0,CHELSEA PIERS
655,50093652,2019-07-09,DOMINO'S,7.0,ONDERDONK AVE
658,50070761,2019-07-09,La Rossa,28.0,LAFAYETTE ST
659,40912964,2019-07-09,NUCCI'S SOUTH,13.0,ARTHUR KILL ROAD
660,50070760,2019-07-09,BRICIA,4.0,CLINTON ST
661,41028321,2019-07-09,D'ANGELO'S PIZZA,12.0,EAST GUN HILL ROAD
662,50093006,2019-07-09,PIZZA,11.0,COLUMBIA ST
663,50093967,2019-07-09,CREMINI'S,22.0,COURT ST
664,50074392,2019-07-09,SAN MIGUEL PIZZA,10.0,CONEY ISLAND AVE
665,41073493,2019-07-09,NINOS RESTAURANT,9.0,HYLAN BOULEVARD
666,50011932,2019-07-09,ANTICA RISTORANTE,33.0,STONE ST
668,50085999,2019-07-09,BIGA,12.0,CLINTON ST
669,50034883,2019-07-09,VINCENT AND ANDREA PIZZERIA,16.0,JAMAICA AVE
670,50078975,2019-07-09,GRAPE AND GRAIN,11.0,E 6TH ST
671,50070439,2019-07-09,PAPA JOHN'S PIZZA,7.0,E TREMONT AVE
672,41462542,2019-07-09,SCOTTADITO,12.0,UNION STREET
673,41618219,2019-07-09,MORSO,8.0,EAST   59 STREET
674,41674382,2019-07-09,ANGELO BELLINI,25.0,EAST   53 STREET
675,50087947,2019-07-08,MOSES PIZZA II,13.0,WESTCHESTER SQ
676,40579607,2019-07-08,PAUL & JIMMY'S RESTAURANT,12.0,EAST   18 STREET
677,41384857,2019-07-08,TONY'S PIZZA,35.0,WHITE PLAINS ROAD
678,41668300,2019-07-08,GIRELLO,12.0,NORTH MOORE STREET
679,50000458,2019-07-08,BEVERLEY PIZZA & CAFE,12.0,E 2ND ST
681,50053361,2019-07-08,SAC'S PLACE OF JACKSON HEIGHTS,10.0,37TH AVE
683,41624219,2019-07-05,EL COQUI BILLIARD LOUNGE,12.0,MYRTLE AVENUE
684,41410058,2019-07-05,ANELLA,12.0,FRANKLIN STREET
686,50092044,2019-07-03,MADISON ST PIZZA,7.0,MADISON ST
687,41614210,2019-07-03,PETALUMA,9.0,1 AVENUE
688,50005954,2019-07-03,ALTESI RISTORANTE,7.0,E 64TH ST
689,50080719,2019-07-03,THE WOODSTOCK,55.0,W 14TH ST
690,41309636,2019-07-03,LONA PIZZA,7.0,EAST  204 STREET
691,41595620,2019-07-03,CAFE LORE,28.0,4 AVENUE
692,40661290,2019-07-03,AL DI LA,23.0,5 AVENUE
693,50087131,2019-07-03,VICTORIA G'S PIZZERIA,12.0,METROPOLITAN AVE
694,41020284,2019-07-02,LITTLE ITALY PIZZA,13.0,WEST   45 STREET
695,50088388,2019-07-02,NEW 99 CENT SUPREME PIZZA,6.0,BROADWAY
696,40569633,2019-07-02,BOCCA DI BACCO,27.0,NINTH AVENUE
697,40862111,2019-07-02,LIL FRANKIE'S PIZZA,13.0,1 AVENUE
698,50043534,2019-07-02,DELAFIELD PIZZA,19.0,DELAFIELD AVE
699,50093639,2019-07-02,DOMINO'S,12.0,JAMAICA AVE
700,41580537,2019-07-02,TRATTORIA ZERO OTTO NOVE II,2.0,WEST   21 STREET
702,40634607,2019-07-02,PIZZA ITALIA 1,9.0,EAST  180 STREET
703,50094040,2019-07-02,GUSTALY,13.0,9TH AVE
704,41415856,2019-07-02,BELLA NAPOLI,25.0,KATONAH AVENUE
705,41056164,2019-07-02,CACIO & PEPE,41.0,2 AVENUE
706,50067183,2019-07-01,DAISY PIZZA,5.0,36TH AVE
707,41696092,2019-07-01,TUFINO PIZZERIA NAPOLETANA,17.0,DITMARS BOULEVARD
708,41160209,2019-07-01,PAPA JOHN'S,5.0,CONEY ISLAND AVE
709,50087005,2019-07-01,MAVSOHO,15.0,GREENWICH ST
710,50070505,2019-07-01,DA VINCI PIZZA,20.0,WATER ST
711,50083043,2019-07-01,UNO CHICAGO GRILL,10.0,COLUMBUS AVE
713,50064841,2019-06-29,CHAMPION PIZZA COLUMBUS,28.0,8TH AVE
715,50015549,2019-06-29,OLIVE GARDEN,44.0,59TH AVE
716,50042128,2019-06-29,THE BRONX BEER HALL,5.0,ARTHUR AVE
718,41201205,2019-06-28,FAMOUS AMADEUS PIZZA,13.0,8 AVENUE
719,50055262,2019-06-28,VIA TRENTA PIZZOTECA,12.0,W 30TH ST
720,41480022,2019-06-28,LAVO NEW YORK,11.0,EAST 58TH STREET
721,41563537,2019-06-27,BENITO ONE,26.0,MULBERRY STREET
722,41545050,2019-06-27,PATRICIA'S,11.0,MORRIS PARK AVENUE
723,50033283,2019-06-27,MAIELLA,21.0,CENTER BLVD
724,50063097,2019-06-27,SAL ANTHONY'S RESTAURANT,9.0,3RD AVE
725,50073524,2019-06-27,CICCIO'S PIZZA,52.0,AVENUE U
726,50055044,2019-06-27,TONY'S FAMOUS PIZZA,27.0,JAMAICA AVE
727,50015444,2019-06-27,99 CENTS FRESH SLICE PIZZA,8.0,STANTON ST
728,50061194,2019-06-27,$1.25 PIZZA,2.0,FULTON ST
729,50001122,2019-06-27,NONNO'S PIZZA,10.0,3RD AVE
730,50069666,2019-06-27,THOMAS PIZZA,30.0,37TH AVE
731,50047255,2019-06-27,QUEENS BLVD PIZZERIA,12.0,QUEENS BLVD
732,40372417,2019-06-27,DON FILIPPO RESTAURANT,7.0,LEXINGTON AVENUE
733,50070444,2019-06-26,PAPA JOHN'S PIZZA,3.0,WESTCHESTER AVE
734,50078642,2019-06-26,IN CUCINA (COOKING CLASS & EVENT SPACE),5.0,W 20TH ST
735,40885315,2019-06-26,PATSY'S PIZZERIA RESTAURANT,13.0,EAST   60 STREET
736,50077207,2019-06-26,CHAMPION PIZZA,11.0,W 14TH ST
737,50076330,2019-06-26,W B PIZZA RESTAURANT,27.0,61ST ST
738,41168300,2019-06-26,ORIGINAL NAPOLI'S PIZZA,12.0,CRESCENT STREET
739,41433437,2019-06-26,NICE PIZZA,20.0,FRANKLIN AVENUE
740,40372426,2019-06-26,DAZIES RESTAURANT,12.0,QUEENS BOULEVARD
741,40715796,2019-06-25,PIZZA HUT,10.0,HILLSIDE AVENUE
742,41653951,2019-06-25,MARIA'S MEXICAN RESTAURANT,4.0,CONEY ISLAND AVENUE
743,41635498,2019-06-25,SPEEDY ROMEO,7.0,CLASSON AVENUE
744,40926353,2019-06-25,LA VIGNA,10.0,METROPOLITAN AVENUE
745,40383281,2019-06-25,GABY'S PIZZA,12.0,HILLSIDE AVENUE
746,50043393,2019-06-25,TONY'S PIZZERIA,9.0,NASSAU AVE
747,40911185,2019-06-25,PAESANO'S PIZZA,7.0,BRADLEY AVENUE
748,50085631,2019-06-25,PIZZA MERCATO,9.0,MOORE ST
749,50090605,2019-06-25,DARIO THE BAKER PIZZERIA,4.0,VICTORY BLVD
750,41205309,2019-06-25,JOE G  RESTAURANT (DA VINCI HOTEL),12.0,WEST   56 STREET
751,40886422,2019-06-25,THE BEST ITALIAN PIZZA,10.0,EAST  149 STREET
752,50052537,2019-06-25,WILD,10.0,5TH AVE
753,41638918,2019-06-25,ANGELO'S PIZZERIA,11.0,WEST   57 STREET
754,41024211,2019-06-24,FRANKIES 457,10.0,COURT STREET
755,41676393,2019-06-24,JOHNNY'S PIZZA RESTAURANT,12.0,EAST  180 STREET
756,41157758,2019-06-24,DOMINO'S,12.0,PITKIN AVENUE
757,41343142,2019-06-24,V.I. PIZZA,9.0,BELL BOULEVARD
758,50074341,2019-06-24,AUGUSTINE,5.0,BEEKMAN ST
759,50073234,2019-06-24,3 BROS 99 CENT PIZZA,10.0,STEINWAY ST
760,41701618,2019-06-24,FELICE,9.0,GOLD STREET
761,50075223,2019-06-24,MANGIPASTA,10.0,E 187TH ST
762,40580683,2019-06-24,THE ORIGINAL PIZZA OF AVENUE L,7.0,AVENUE L
763,41647210,2019-06-24,SPRINGFIELD & LA BARI PIZZERIA,8.0,FARMERS BLVD
764,50085526,2019-06-24,MASSA'S PIZZA OF LIC,11.0,28TH ST
765,50008983,2019-06-22,Aita Trattoria,22.0,FRANKLIN AVE
766,50071927,2019-06-22,IL BASTARDO,27.0,W 27TH ST
767,40365784,2019-06-22,GARGIULO'S RESTAURANT,18.0,WEST   15 STREET
768,41543826,2019-06-21,UMBERTO'S CLAM HOUSE,9.0,MULBERRY STREET
769,41618871,2019-06-21,TESTO,22.0,LEONARD STREET
770,40561290,2019-06-21,TOTONNO'S PIZZERIA,7.0,NEPTUNE AVENUE
771,50045891,2019-06-21,BARANO,32.0,BROADWAY
772,41363369,2019-06-21,LA CROSTA RESTAURANT,11.0,EAST   72 STREET
773,50044508,2019-06-21,PASQUALE JONES,19.0,KENMARE ST
774,50089682,2019-06-21,KINGSTON PIZZA,7.0,KINGSTON AVE
775,50000210,2019-06-21,LA PICCOLA CUCINA,11.0,AMSTERDAM AVE
776,50034113,2019-06-21,NOEL'S PIZZA,13.0,W 207TH ST
777,50073212,2019-06-20,LBK LA PIZZA NAPOLETANA,8.0,UNION ST
778,41643403,2019-06-20,DON ANTONIO RESTAURANT,12.0,WEST   50 STREET
779,50089471,2019-06-20,DOMENIC'S PIZZA,8.0,ALLERTON AVE
780,40649377,2019-06-20,CANALETTO RISTORANTE,13.0,EAST   60 STREET
781,40650407,2019-06-20,LA SORRENTINA RISTORANTE,3.0,11 AVENUE
782,50070118,2019-06-20,BARCKLAYS PIZZA & PASTA,10.0,FULTON ST
783,41698319,2019-06-20,KORONET PIZZA,13.0,BROADWAY
784,50086724,2019-06-20,MADE IN NEW YORK PIZZA,13.0,AMSTERDAM AVE
785,50003079,2019-06-20,BARILLA RESTAURANTS,9.0,AVENUE OF THE AMERICAS
787,41086967,2019-06-20,IL SOLE,22.0,DYCKMAN STREET
788,41561140,2019-06-20,COTTA,10.0,COLUMBUS AVENUE
789,40396264,2019-06-20,DA NICO RESTAURANT,12.0,MULBERRY STREET
790,50048600,2019-06-20,THE OLIVE GARDEN ITALIAN RESTAURANT,9.0,W 125TH ST
791,40396548,2019-06-20,PUGSLEY PIZZA,13.0,EAST  191 STREET
792,40396622,2019-06-20,MEDITERRANEO,18.0,2 AVENUE
794,50089107,2019-06-20,VILLAGE SQUARE PIZZA,12.0,AVENUE A
795,41525016,2019-06-19,DA MIKELE,12.0,CHURCH STREET
796,50071274,2019-06-19,LUCCIOLA,23.0,AMSTERDAM AVE
797,50076481,2019-06-19,TASTALU PANINI,2.0,9TH AVE
798,50047785,2019-06-19,CAPPONE'S,13.0,9TH AVE
799,40515448,2019-06-19,FREDDIE & PEPPER'S PIZZA,12.0,AMSTERDAM AVENUE
800,50044648,2019-06-19,PARKWAY PIZZA,12.0,UTOPIA PKWY
801,50048621,2019-06-19,VITO'S  PIZZA,10.0,SPRINGFIELD BLVD
802,40391121,2019-06-19,LAZZARAS PIZZA CAFE,23.0,WEST   38 STREET
803,50001580,2019-06-19,CIRO PIZZA CAFE,11.0,HUGUENOT AVENUE
804,50007157,2019-06-19,BAR PRIMI,25.0,BOWERY
805,50080795,2019-06-19,AVE D PIZZERIA,12.0,AVENUE D
806,50056919,2019-06-19,SLICE ASTORIA,13.0,30TH AVE
807,50069080,2019-06-19,Laboratorio,10.0,W 51ST ST
808,50086280,2019-06-19,PICCOLI,13.0,GRAND ST
809,41580082,2019-06-19,THE LEOPARD AT DES ARTISTES,17.0,WEST   67 STREET
810,50056005,2019-06-19,SANTA PANZA,13.0,BROADWAY
811,41677059,2019-06-19,GRIMALDI'S,9.0,SURF AVENUE
812,41160375,2019-06-19,CAPIZZI,13.0,HYLAN BOULEVARD
813,40705733,2019-06-19,HARBOR PIZZA,9.0,DRY HARBOR ROAD
814,50089625,2019-06-19,SAN MARINO PIZZA,27.0,HYLAN BLVD
815,41063300,2019-06-19,CENTRE PIZZA,12.0,HORACE HARDING EXPRESS
816,50089093,2019-06-19,CHEECH & PEPPE'S,10.0,2ND AVE
817,40764527,2019-06-19,PIZZA PALACE,9.0,DITMARS BOULEVARD
818,40995721,2019-06-19,QUARTINO BOTTEGA ORGANICA,15.0,BLEECKER STREET
819,50088997,2019-06-18,CHICAGO'S PIZZA WITH A TWIST,10.0,HILLSIDE AVE
820,50032662,2019-06-18,SCAVELLO'S ON THE ISLAND,15.0,CITY ISLAND AVE
821,41113339,2019-06-18,FAMOUS ORIGINAL RAY'S PIZZA,11.0,9 AVENUE
822,50070663,2019-06-18,GRANDPA'S BRICK OVEN PIZZA,12.0,BROADWAY
824,50006794,2019-06-18,TABLE 87,10.0,3RD AVE
825,40993101,2019-06-18,SANT AMBROEUS,10.0,WEST    4 STREET
826,40576150,2019-06-18,FELICE 64 WINE BAR,9.0,1 AVENUE
827,40395122,2019-06-18,GINO'S PIZZERIA RESTAURANT,10.0,EAST   83 STREET
828,40756287,2019-06-18,BARBARESCO,11.0,LEXINGTON AVENUE
829,50075683,2019-06-18,PRIMO'S BAR,2.0,W BROADWAY
831,50076022,2019-06-18,AVENA DOWNTOWN,8.0,6TH AVE
832,41495911,2019-06-18,ARIA,7.0,PERRY STREET
833,50068912,2019-06-18,ROEY'S,9.0,PERRY ST
834,41662314,2019-06-18,JUSTINOS PIZZERIA,10.0,GUYON AVENUE
835,41704249,2019-06-18,FAMOUS FAMIGLIA PIZZERIA,13.0,MADISON AVENUE
836,50078782,2019-06-18,BAR VELOCE,12.0,9TH AVE
837,41380885,2019-06-18,MAMA TINA'S PIZZA,21.0,FRDERICK DOUGLASS BOULEVARD
838,40383945,2019-06-18,PIZZA D'ORO,11.0,VICTORY BOULEVARD
840,41519961,2019-06-18,MORINI OSTERIA ROMAGNOLA,12.0,LAFAYETTE STREET
841,50082681,2019-06-18,NITTIS,13.0,9TH AVE
842,50073755,2019-06-18,LITTLE GIO'S PIZZA,22.0,1ST AVE
843,50089377,2019-06-17,JOHN'S PIZZA,27.0,LEFFERTS BLVD
844,41238165,2019-06-17,PIZZA CLASSICA,12.0,UNION TURNPIKE
845,50082639,2019-06-17,COUNTRY BAY PIZZA,3.0,AMPERE AVE
846,40869272,2019-06-17,FINESTRA,8.0,YORK AVENUE
847,41410205,2019-06-17,LOCANDA VERDE,24.0,GREENWICH STREET
848,50002394,2019-06-17,PALERMO RESTAURANT & BAR,8.0,21 STREET
849,41118090,2019-06-17,REMI,49.0,WEST   53 STREET
851,50087456,2019-06-17,ARCHER PIZZA,11.0,ARCHER ST
852,41721903,2019-06-17,ARMONIE,12.0,PARK AVENUE
853,50075964,2019-06-17,COCO PAZZO TRATTORIA,7.0,PRINCE ST
854,50043752,2019-06-17,2 BROS PIZZA,12.0,E 125TH ST
855,40399472,2019-06-17,OLIVE GARDEN,11.0,TIMES SQUARE
856,41476127,2019-06-17,TERROIR TRIBECA,21.0,HARRISON STREET
857,41196158,2019-06-17,ELEVEN B,13.0,AVENUE B
859,41293446,2019-06-17,BOCCA,13.0,EAST   19 STREET
860,50071470,2019-06-15,PRIMA PIZZA,7.0,E 233RD ST
861,41491940,2019-06-15,MALAPARTE,12.0,WASHINGTON STREET
863,41717184,2019-06-15,PIACERE,12.0,BROOME STREET
864,50047738,2019-06-14,BENNY'S BRICK OVEN PIZZA,12.0,KINGSTON AVE
865,41703808,2019-06-14,BELLI OSTERIA,8.0,FULTON STREET
866,50045766,2019-06-14,MASSERIA CAFFE,12.0,W 48TH ST
867,50010252,2019-06-14,PRANZO,11.0,WATER ST
868,41353218,2019-06-14,CASSIANO'S PIZZA,12.0,3 AVENUE
869,50067708,2019-06-14,MY PIE,12.0,LEXINGTON AVE
870,50040054,2019-06-14,MOLO,2.0,BAY ST
871,41603543,2019-06-14,HARRY'S ITALIAN PIZZA PARLOR,12.0,ROCKEFELLER PLAZA
872,50057010,2019-06-14,ARTICHOKE BASILLE'S PIZZA,5.0,4TH AVE
873,50071726,2019-06-14,PEPO'S PIZZA,4.0,AMSTERDAM AVE
874,40611479,2019-06-14,JOE'S OF AVE U,13.0,AVENUE U
875,41089821,2019-06-13,SOUTH FIN GRILL/THE VANDERBILT,13.0,FATHER CAPODANNO BOULEVA
876,50076526,2019-06-13,MORANDI,7.0,WAVERLY PL
877,50087326,2019-06-13,DADDY GREENS 2,9.0,FULTON ST
878,50046025,2019-06-13,PIZZERIA SIRENETTA,8.0,AMSTERDAM AVE
880,50049539,2019-06-13,99¢ FRESH PIZZA,6.0,W 40TH ST
881,50001255,2019-06-13,THE MILLING ROOM,33.0,COLUMBUS AVE
882,40390850,2019-06-13,CAFE LUNA,10.0,HYLAN BOULEVARD
883,41176172,2019-06-13,GENNARO RESTAURANT,33.0,AMSTERDAM AVENUE
884,41586332,2019-06-13,OLGA'S PIZZA,8.0,BROADWAY
885,40813994,2019-06-13,MAX SOHA,9.0,AMSTERDAM AVENUE
886,40993361,2019-06-13,KNAPP PIZZA III,9.0,KINGS HIGHWAY
887,40597409,2019-06-13,STROMBOLI PIZZA,19.0,ST MARKS PLACE
888,50066537,2019-06-13,LA VILLA PIZZA,7.0,86TH ST
889,50067916,2019-06-13,ZIO TOTO,9.0,3RD AVE
890,40973604,2019-06-12,THE PIZZA PLACE,12.0,WHITE PLAINS ROAD
892,41263597,2019-06-12,PATRIZIA'S,9.0,BROADWAY
893,41370414,2019-06-12,ARTHUR AVENUE CATERS,12.0,CRESCENT AVENUE
894,50064708,2019-06-12,'CESCA,12.0,W 75TH ST
895,41272088,2019-06-12,ANTONIO'S TRATTORIA,35.0,BELMONT AVENUE
896,50000204,2019-06-12,DANI'S,10.0,AMBOY RD
897,50056305,2019-06-12,MONTE PIZZA,3.0,E 188TH ST
898,41584647,2019-06-12,AMORINO,12.0,UNIVERSITY PLACE
899,50055001,2019-06-12,MICHAEL ANTHONY'S,10.0,NELSON AVE
900,50071185,2019-06-12,BAKER'S PIZZA + ESPRESSO,12.0,10TH AVE
901,50084356,2019-06-12,CHAMPION PIZZA ESSEX,5.0,ESSEX ST
902,50004725,2019-06-12,PRINCE PIZZA,12.0,AVENUE U
903,40986347,2019-06-11,VESUVIOS PIZZA,13.0,KINGS HIGHWAY
904,41712295,2019-06-11,BEN'S PIZZA AND RESTAURANT,26.0,3 AVENUE
905,40999185,2019-06-11,GAETANA'S CUCINA ITALIANA,47.0,CHRISTOPHER STREET
906,50079209,2019-06-11,VENECIA PIZZARIA,12.0,FOREST AVE
907,40925259,2019-06-11,CAFE LUNA,34.0,PAGE AVENUE
908,40369482,2019-06-11,ARMANDO'S PIZZA,7.0,PENNSYLVANIA AVENUE
909,50006786,2019-06-11,CAVALERI PIZZA & PASTA,6.0,162ND ST
910,40399817,2019-06-11,NOVITA,7.0,EAST   22 STREET
911,41301737,2019-06-11,ARMANDO'S PIZZA,7.0,ROCKAWAY PARKWAY
912,41645673,2019-06-11,69 PIZZERIA,41.0,69TH ST
913,41560644,2019-06-11,GOODFELLA'S PIZZERIA,7.0,HYLAN BOULEVARD
914,41687706,2019-06-11,SAL'S PIZZA,27.0,127 STREET
915,50084972,2019-06-11,JOE'S PIZZA,10.0,5TH AVE
916,41099430,2019-06-11,BROTHERS RAVIOLI,9.0,CROSSBAY BOULEVARD
917,41204340,2019-06-11,TINY'S PIZZA & PASTA,63.0,GRANT AVENUE
918,40643138,2019-06-11,PARMA RESTAURANT,10.0,3 AVENUE
919,50038737,2019-06-11,LISSETT OMAR,2.0,E 149TH ST
920,41477814,2019-06-11,2 BROS PIZZA/ CORVO COFFEE,18.0,9 AVENUE
921,50051127,2019-06-11,MOMENTO'S PIZZA COFFEE SHOP,10.0,99TH ST
922,40535659,2019-06-10,ANTONIO'S PIZZA,2.0,FLATBUSH AVENUE
923,50085146,2019-06-10,MIKE'S PIZZA & CATERING,5.0,UTOPIA PKWY
924,41664706,2019-06-10,DELICIAS PIZZA AND CHICKEN,9.0,HOLLY AVENUE
926,50063183,2019-06-10,SIENA CAFE,23.0,3RD AVE
927,41693243,2019-06-10,SOLE DI CAPRI,12.0,CHURCH STREET
928,41388576,2019-06-10,MAMA'S PIZZA CAFE,35.0,8 AVENUE
929,41154306,2019-06-10,LITTLE ITALY M & O PIZZA RESTAURANT,12.0,BROADWAY
931,40575863,2019-06-10,FAMOUS JOE'S PIZZA,9.0,CARMINE STREET
932,50065990,2019-06-10,MICHELANGELO'S PIZZA,13.0,POST AVE
933,41090127,2019-06-10,PORTOFINO RESTAURANT,10.0,CITY ISLAND AVENUE
934,40384662,2019-06-10,J & R PIZZA,13.0,KINGS HIGHWAY
936,50036537,2019-06-10,PATRIZIAS OF BROOKLYN,13.0,2ND AVE
937,40512445,2019-06-10,BELLA BLU,10.0,LEXINGTON AVENUE
938,50002599,2019-06-10,LUZZO'S BK,13.0,ATLANTIC AVENUE
939,41341837,2019-06-10,BARTOLINO'S FINE ITALIAN CUISINE,7.0,BROADWAY
940,50002214,2019-06-10,CAMPANIA COAL FIRED PIZZA,5.0,4 AVE
941,40903960,2019-06-08,BELLEROSE FAMOUS PIZZA,12.0,UNION TURNPIKE
942,40884999,2019-06-08,DOC WINE BAR,19.0,NORTH    7 STREET
943,50074962,2019-06-08,MOTHERDOUGH,7.0,7TH AVE
944,41491144,2019-06-07,ANFORA,10.0,8 AVENUE
945,50013398,2019-06-07,MARTA,10.0,E 29TH ST
946,40938813,2019-06-07,PIE,13.0,4 AVENUE
947,40598699,2019-06-07,BIG ALS CHICAGO PIZZA,3.0,THAMES STREET
948,50043263,2019-06-07,PARKSIDE,19.0,FLATBUSH AVE
949,40365726,2019-06-07,BARBETTA RESTAURANT,13.0,323 W. 46TH ST.
950,50056775,2019-06-07,PIETRO NOLITA,12.0,ELIZABETH ST
951,50056382,2019-06-07,ARTISTIC STITCH SPORTS COMPLEX(PARTY PLACE),5.0,COOPER AVE
952,50002403,2019-06-07,LA BELLEZZA PIZZERIA,12.0,BROADWAY
953,40994221,2019-06-06,MANGIA,10.0,WEST   23 STREET
954,41384201,2019-06-06,SANDRO'S,27.0,EAST   81 STREET
955,40396159,2019-06-06,CARMINE'S,11.0,WEST   44 STREET
956,41356077,2019-06-06,BISTANGO,28.0,3 AVENUE
957,40887926,2019-06-06,LAMARCA PASTA RESTAURANT,10.0,EAST   22 STREET
958,50042812,2019-06-06,SAN MATTEO PIZZERIA E CUCINA,12.0,2ND AVE
959,50002977,2019-06-06,FAMOUS PIZZA EXPRESS,11.0,KAPPOCK ST
960,50069393,2019-06-06,SPAGHETTI INCIDENT PASTA SHOP,21.0,ELDRIDGE ST
961,41543722,2019-06-06,DOMINO'S PIZZA,5.0,WEST  181 STREET
962,50070388,2019-06-06,MANI IN PASTA,7.0,E 37TH ST
963,50007606,2019-06-06,Bar B,10.0,7TH AVE
964,40520857,2019-06-06,TIRAMISU RESTAURANT,10.0,3 AVENUE
965,40372631,2019-06-06,YANKEE JZ PIZZA,12.0,WESTCHESTER AVENUE
966,41600522,2019-06-06,LUIGI PIZZERIA & RISTORANTE,27.0,1 AVENUE
968,41483427,2019-06-06,TIELLA RESTAURANT,10.0,1 AVENUE
969,41437526,2019-06-05,NELLO,11.0,MADISON AVENUE
970,50012265,2019-06-05,PIZZA MOTO,12.0,HAMILTON AVE
971,50003720,2019-06-05,LITTLE ITALY PIZZA,2.0,E 86TH ST
972,41437135,2019-06-05,SUNNYSIDE PIZZA,9.0,QUEENS BOULEVARD
973,41395529,2019-06-05,CITI FIELD EMMY SQUARED PIZZA,7.0,126TH ST & ROOSEVELT AVENUE
974,50051710,2019-06-05,GINO'S PIZZERIA RESTAURANT,19.0,BROADWAY
975,41143170,2019-06-05,VINNY'S PIZZA,10.0,57 AVENUE
977,40699907,2019-06-05,GIGINO AT WAGNER PARK,8.0,BATTERY PLACE
978,41416592,2019-06-05,SOUTH SHORE LITTLE LEAGUE,22.0,PAGE AVENUE
979,50078448,2019-06-05,Grand Astoria Family Pizza,9.0,DITMARS BLVD
980,50092378,2019-06-05,VIA MARGHERITA,7.0,TOMPKINS AVE
981,50055051,2019-06-05,D'ANTAN,9.0,CLASSON AVE
982,40392140,2019-06-05,SALVATORE AND LLOYD'S PIZZA,2.0,RICHMOND AVENUE
983,50086215,2019-06-05,LARUSTICA PIZZA,20.0,LEXINGTON AVE
984,41394169,2019-06-05,PIAZZA PIZZA,5.0,42 STREET
985,40845101,2019-06-05,AZALEA,12.0,WEST   51 STREET
986,50045350,2019-06-04,NOSTRO RISTORANTE,10.0,5TH AVE
987,50046224,2019-06-04,BAKER'S PIZZA,35.0,AVENUE A
988,41625593,2019-06-04,CRISPY PIZZA,10.0,RICHMOND TERRACE
989,50064165,2019-06-04,LUCONI NYC,6.0,E 187TH ST
990,40387754,2019-06-04,TRATTORIA DELLA ARTE,12.0,7 AVENUE
991,41716904,2019-06-04,HIGHLINE PIZZERIA,6.0,WEST   28 STREET
992,50049494,2019-06-04,LARINA PASTIFICIO & VINO,12.0,MYRTLE AVE
994,40375699,2019-06-04,GENE'S RESTURANT,12.0,WEST   11 STREET
995,41688142,2019-06-04,TABLE 87,2.0,ATLANTIC AVENUE
996,40366812,2019-06-04,CARA MIA,8.0,HILLSIDE AVENUE
997,40904721,2019-06-04,CRISPO,12.0,WEST   14 STREET
998,41361177,2019-06-04,GRIMALDI'S,12.0,61 AVENUE
999,41583421,2019-06-04,BREAD & TULIPS,10.0,PARK AVENUE SOUTH
1001,40892887,2019-06-03,FRANK'S PIZZERIA/DA FRANCO AND TONY RESTAURANT,11.0,MIDDLETOWN ROAD
1002,50075990,2019-06-03,SAUCE PIZZERIA,10.0,E 12TH ST
1003,41455451,2019-06-03,LJ PIZZA,9.0,JEROME AVENUE
1004,40392690,2019-06-03,GABRIEL'S BAR & RESTAURANT,3.0,WEST   60 STREET
1005,50016265,2019-06-03,ADORO LEI,4.0,HUDSON ST
1006,50007029,2019-06-03,SINGAS FAMOUS PIZZA,13.0,NORTHERN BLVD
1007,50053339,2019-06-03,ANTHONY'S AND SALS PIZZA EXPRESS,12.0,WILLIAMSBRIDGE RD
1008,41571471,2019-06-03,LITTLE CAESARS,4.0,JAMAICA AVENUE
1009,41540906,2019-06-03,AI FIORI,12.0,5 AVENUE
1010,50065126,2019-06-03,FIRENZE RISTORANTE,13.0,2ND AVE
1011,50057279,2019-06-03,STAR 99C PIZZA,18.0,DELANCEY ST
1013,50042805,2019-06-03,ITALIANA CREMOSA PIZZERIA & RESTAURANT,9.0,101ST AVE
1014,50035310,2019-06-03,DANTE,16.0,MACDOUGAL ST
1015,40399867,2019-06-03,DOMINO'S,2.0,CHURCH STREET
1016,50076302,2019-06-01,PAPA JOHNS,12.0,WESTCHESTER AVE
1017,50057566,2019-06-01,DOMINO'S,9.0,S CONDUIT AVE
1018,50051662,2019-05-31,TARALLUCCI E VINO,8.0,E 28TH ST
1019,50049678,2019-05-31,DOMINO'S,4.0,CATHERINE ST
1021,40560302,2019-05-31,SERAFINA FABULOUS PIZZA,13.0,MADISON AVENUE
1022,41444789,2019-05-31,ROBERTO'S,12.0,CRESCENT AVENUE
1023,50018497,2019-05-31,TARALLUCCI E VINO,9.0,EAST 90TH STREET
1024,40397574,2019-05-31,DOMINICK'S BAR & RESTAURANT,13.0,ARTHUR AVENUE
1025,50035660,2019-05-31,ROCCOS,10.0,7TH AVE
1026,50048923,2019-05-31,Milly's Pizzeria,13.0,BROADWAY
1027,41247143,2019-05-31,Luigi's Pizza,7.0,5 AVENUE
1028,50010850,2019-05-31,RETRO PIZZA CAFE,12.0,BROADWAY
1029,50011610,2019-05-30,BIG DADDY'S PIZZA,10.0,LORRAINE ST
1030,50001015,2019-05-30,TRA DI NOI,4.0,E 187TH ST
1031,50091130,2019-05-30,AINSLIE,10.0,AINSLIE ST
1032,50044780,2019-05-30,CASA NONNA,2.0,PENN PLZ
1033,50044603,2019-05-30,CASA NONNA PIZZA,2.0,PENN PLZ
1034,41096822,2019-05-30,REGIONAL,7.0,BROADWAY
